"TenYear","origin_code","destin_code","mil","n_spp","Distance","CB","CL","CCH","FTA","trade","trade_historical","sr_orig","sr_dest","totalgivenTenYear","area.j","area.i","pop.j","pop.i","gdp.j","gdp.i","Reference_ID","Reference_ID_origin"
1960,"ABW","AGO",0.00226953230769231,0.0420312346308551,15237.5,0,1,0,0,0.938,119354.395,772,26653,0.00226953230769231,7692020,180,10834412.8333333,56160.1666666667,21588457087.3932,789883427.830259,2,1
1960,"ARG","AGO",0.00226953230769231,1.04177361422437,11801.36,0,0,0,0,420263.067,238951.4842,13234,26653,0.694437032307692,7692020,2736690,10834412.8333333,21320846.6666667,21588457087.3932,24168170972.6196,2,2
1960,"ARG","HKG",0.6921675,0.730132000352589,6886.516,0,0,0,1,1384188.879,981419.41,13234,24975,0.694437032307692,1213090,2736690,18215733.3333333,21320846.6666667,9196362991.98394,24168170972.6196,1,2
1960,"ARM","AGO",0.00269613538461538,0.197255728512541,15237.5,0,1,0,0,1.343,9.1746,4010,26653,0.00269613538461538,7692020,28470,10834412.8333333,2043174.16666667,21588457087.3932,1623203181.37144,2,1
1960,"ATG","AGO",0.00226953230769231,0.0425685224021854,15237.5,0,1,0,0,0.003,1.1028,715,26653,0.00226953230769231,7692020,440,10834412.8333333,56337.8333333333,21588457087.3932,149948775.349794,2,1
1960,"AUT","AGO",0.00269613538461538,0.33781450784745,15237.5,0,1,0,0,14318.929,4571.3724,3013,26653,0.00269613538461538,7692020,82520,10834412.8333333,7155700.5,21588457087.3932,8199797240.66158,2,1
1960,"AZE","AGO",0.00269613538461538,0.288525569782383,15237.5,0,1,0,0,0.01,1.452,5113,26653,0.00269613538461538,7692020,82654,10834412.8333333,4243595,21588457087.3932,1069872552.4888,2,1
1960,"BGR","AGO",0.00269613538461538,0.468377045668052,15449.53,0,0,0,0,914.687,6805.7112,4366,26653,0.00269613538461538,7692020,108560,10834412.8333333,8041681.83333333,21588457087.3932,18394210488.8289,2,1
1960,"BIH","AGO",0.00269613538461538,0.181643326088033,15237.5,0,1,0,0,8.814,46.8196,634,26653,0.00269613538461538,7692020,51200,10834412.8333333,3383283.33333333,21588457087.3932,1255802469.1358,2,1
1960,"BLZ","AGO",0.00226953230769231,0.118286531991163,13821.95,0,1,0,0,972.628,236.5336,5722,26653,0.00226953230769231,7692020,22810,10834412.8333333,98919,21588457087.3932,33317723.8902774,2,1
1960,"BOL","AGO",0.00226953230769231,0.806059328510089,15237.5,0,1,0,0,465167.671,119497.7528,17505,26653,0.00226953230769231,7692020,1083300,10834412.8333333,3844121,21588457087.3932,474650617.915392,2,1
1960,"BRA","AGO",0.00226953230769231,1.04177361422437,13371.76,0,0,0,0,580256.73,196522.2632,43205,26653,0.00226953230769231,7692020,8358140,10834412.8333333,77702609,21588457087.3932,20644931551.6382,2,1
1960,"BRB","AGO",0.00226953230769231,0.0469697362695002,15237.5,0,1,0,0,290,60.0678,750,26653,0.00226953230769231,7692020,430,10834412.8333333,233160.166666667,21588457087.3932,894480507.961649,2,1
1960,"CHN","AGO",0.00269613538461538,1.08313039152368,8956.436,0,0,0,1,2060369.558,444317.2444,37774,26653,0.00269613538461538,7692020,9424702.9,10834412.8333333,681507500,21588457087.3932,56305684187.7217,2,1
1960,"COL","AGO",0.00226953230769231,0.619154566605327,14260.45,0,0,0,0,1461920.556,589572.978,29770,26653,0.00226953230769231,7692020,1109500,10834412.8333333,17374809.5,21588457087.3932,5016239989.88283,2,1
1960,"CRI","AGO",0.00226953230769231,0.230665994245787,15237.5,0,1,0,0,38410.871,27294.378,13678,26653,0.00226953230769231,7692020,51060,10834412.8333333,1460775.16666667,21588457087.3932,520746917.045726,2,1
1960,"CUB","AGO",0.00226953230769231,0.237079969543567,14717.39,0,0,0,0,53.37,4761.217,1729,26653,0.00226953230769231,7692020,103800,10834412.8333333,7543451,21588457087.3932,8427296291.83488,2,1
1960,"CYM","AGO",0.00226953230769231,0.0239937165933371,15237.5,0,1,0,0,0.058,0.0116,1657,26653,0.00226953230769231,7692020,240,10834412.8333333,8153.83333333333,21588457087.3932,4348689694.25444,2,1
