Geographic_region,Official_country,Geographic_region2
Europe,Spain,Europe
Africa,South Africa,Africa
South America,France,Europe
South America,Ecuador,South America
Oceania,Australia,Oceania
Europe,France,Europe
North America,USA,North America
Asia,Japan,Asia
Africa,Seychelles,Africa
North America,Diverse/Unspecified,North America
South America,Uruguay,South America
North America,Mexico,North America
Asia,India,Asia
South America,Peru,South America
Asia,Singapore,Asia
Asia,China,Asia
Asia,Thailand,Asia
Asia,Vietnam,Asia
Asia,Myanmar,Asia
South America,Paraguay,South America
Asia,Diverse/Unspecified,Asia
South America,Brazil,South America
Central America,Panama,North America
Asia,Philippines,Asia
Asia,Cambodia,Asia
South America,Suriname,South America
Asia,Indonesia,Asia
South America,Argentina,South America
Oceania/Pacific Islands,France,Europe
South America,Colombia,South America
Central America,USA,North America
South America,Bolivia,South America
Central America,Belize,North America
South America,Venezuela,South America
Asia,Malaysia,Asia
Central America,Nicaragua,North America
Central America,Cuba,North America
Asia,Bangladesh/India/Pakistan/Sri Lanka,Asia
Asia,Bhutan,Asia
Central America,Guatemala,South America
Asia,Cambodia/Malaysia/Thailand,Asia
Asia,Sri Lanka,Asia
Asia,Laos,Asia
Asia,Brunei,Asia
South America,Chile,South America
Central America/North America/South America,Diverse/Unspecified,North America;South America
Central America,Diverse/Unspecified,North America
North America,Canada,North America
Asia,Timor-Leste,Asia
Central America,France,Europe
Europe,Italy,Europe
Europe,Greece,Europe
Africa,France,Europe
Europe,Diverse/Unspecified,Europe
Europe,Russia,Europe
Europe,United Kingdom,Europe
Europe,Netherlands,Europe
Europe,Hungary,Europe
Europe,Ukraine,Europe
Europe,Albania,Europe
Europe,Romania,Europe
Asia,Turkey,Asia
Europe,Poland,Europe
Europe,Bulgaria,Europe
Europe,Moldova,Europe
Europe,Slovakia,Europe
Europe,Macedonia,Europe
Europe,Sweden,Europe
Europe,Croatia,Europe
Europe,Serbia,Europe
Europe,Czech Republic,Europe
Europe,Denmark,Europe
Europe,Norway,Europe
Europe,Switzerland,Europe
Europe,Finland,Europe
Asia,Russia,Europe
Europe,Germany,Europe
Europe,Montenegro,Europe
Europe,Bosnia and Herzegovina,Europe
Europe,Slovenia,Europe
Europe,Belarus,Europe
Europe,Portugal,Europe
Europe,Austria,Europe
Oceania/Pacific Islands,USA,North America
Europe,Belgium,Europe
South America,Argentina/Chile,South America
Africa,Spain,Europe
Central America/North America,Belize/Guatemala/Mexico/USA,North America
Central America/North America,Guatemala/Mexico/USA,North America
Africa,Ethiopia,Africa
Africa,Malawi,Africa
Africa,Uganda,Africa
Africa,Kenya,Africa
Africa,Tanzania,Africa
Africa,Ivory Coast,Africa
Oceania,New Zealand,Oceania
Africa,Libya,Africa
Africa/Asia/Europe,Diverse/Unspecified,Africa;Asia;Europe
North America,Mexico/USA,North America
North America,Canada/USA,North America
Europe/North America,USA/Unspecified,North America
Europe/South America,Spain/Chile,Europe;South America
Africa,Madagascar,Africa
Europe,Portugal/Spain,Europe
Africa,Benin,Africa
Africa,Ghana,Africa
Africa,Diverse/Unspecified,Africa
Oceania,Australia/Papua New Guinea,Oceania
Central America/Oceania/Pacific islands,USA,North America
Europe,Cyprus,Europe
Central America,Grenada,North America
Europe,Estonia,Europe
Europe,Lithuania,Europe
Africa,Mauritius,Africa
Europe,Spain/Portugal,Europe
Asia,Philippines/Thailand/Vietnam,Asia
Africa,Benin/Guinea Conakry/Togo,Africa
Africa,Togo,Africa
Asia,Pakistan,Asia
Antarctic-Subantarctic,France,Europe
Europe,Malta,Europe
Central America,Antigua,North America
Oceania/Pacific Islands,United Kingdom,Europe
South America,United Kingdom,Europe
Oceania,Australia/Brazil/Venezuela,Oceania;South America
Africa,Senegal,Africa
Europe,Ireland,Europe
Africa,Democratic Republic of the Congo,Africa
Africa,Zambia,Africa
Africa,Nigeria,Africa
Africa,Cameroon,Africa
Africa,Zimbabwe,Africa
Africa,Mozambique,Africa
Africa,Niger,Africa
Africa,Mali,Africa
Africa,Rwanda,Africa
North America,United States of America,North America
Central America,United States of America,North America
Asia,East Timor,Asia
Central America,United Kingdom,Europe
Europe,Republic of Serbia,Europe
Europe,Czechia,Europe
Pacific Islands,United States of America,North America
Central America/North America,Guatemala/Mexico/United States of America,North America
Central America/North America,Belize/Guatemala/Mexico/United States of America,North America
Africa,United Republic of Tanzania,Africa
Central America,Saint Kitts and Nevis,North America
North America,Mexico/United States of America,North America
Oceania,Fiji,Oceania
North America,Canada/United States of America,North America
Europe/North America,United States of America,North America
Central America/Pacific islands,United States of America,North America
Central America,Barbados,North America
Asia,Cyprus,Europe
Africa,Uganda/Kanya/Tanzania/Ethiopia,Africa
Africa,Portugal,Europe
North America,Cuba,North America
Pacific Islands,France,Europe
Europe,Iceland,Europe
Africa,Benin/Guinea/Togo,Africa
Central America,Jamaica,North America
Oceania/South America,Australia/Brazil/Venezuela,Oceania;South America
Europe,Germany/Unspecified,Europe
