Common_Nm,Species,Class,Top 30 worst,Doublechecker,Notes (include refs where applicable),Reference in Appendix,Double check completed? ,Disease Agent (to remove),Domesticated (to set as diverse),Continents,Countries
Rooikrans,Acacia cyclops,Tracheophyta,,Alok,Correct,NA,1,,,OC,Australia
Baccharis halimifolia,Baccharis halimifolia,Tracheophyta,,Alok,Correct,NA,1,,,NAm,United States;Cuba;Bahamas
Melon fly,Bactrocera cucurbitae,Arthropoda,,Alok,Correct,NA,1,,,AS,India
Summer lilac,Buddleja davidii,Tracheophyta,,Alok,Correct,NA,1,,,AS,China
Dromedary camel,Camelus dromedarius,Chordata,,Alok,"Removed Europe. The only european region in the list of countries was Turkey (CABI), but no evidence that this species is present in the European part of Turkey.",Other Generic Databases,1,,1,AS;AF,Algeria;Morocco;Tunisia;Afghanistan;India;Iran;Iraq;Israel;Jordan;Lebanon;Pakistan;Palestinian Territories;Syria;Turkey;Burkina Faso;Chad;Djibouti;Egypt;Eritrea;Ethiopia;Kenya;Libya;Mali;Mauritania;Niger;Somalia;Sudan;Western Sahara;Bahrain;Kuwait;Oman;Qatar;Saudi Arabia;United Arab Emirates;Yemen
Knapweeds - Meadow,Centaurea moncktonii,Tracheophyta,,Alok,"the same as C. debeauxii.
(CABI) Both Cd and Cm are shown to be native of Europe and not of NAm. NAm is the introduced range.",Other Generic Databases,1,,,EUR,
Yellow starthistle,Centaurea solstitialis,Tracheophyta,,Alok,Correct,NA,1,,,EUR;AS;AF,Algeria;Tunisia;Armenia;Azerbaijan;Georgia;Iran;Iraq;Lebanon;Syria;Tajikistan;Turkey;Turkmenistan;Albania;Bosnia & Herzegovina;Bulgaria;Croatia;France;Greece;Italy;Montenegro;North Macedonia;Russia;Slovenia;Spain;Ukraine;Serbia
Seedpod weevil,Ceutorhynchus obstrictus,Arthropoda,,Alok,"Native to Europe (CABI). Replaced AS and SA from continent list with EUR.
Could not find any source for the list of countries.",Other Generic Databases,1,,,EUR,
Triffid weed,Chromolaena odorata,Tracheophyta,,Alok,"Removed the Netherlands, and thereby Europe, from the list of countries and continents, respectively. The Netherlands is not in the list of native countries (CABI, GISD).",Other Generic Databases,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;Uruguay;United States;Mexico;Puerto Rico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;French Guiana;Guyana;Peru;Suriname;Venezuela;Grenada;Montserrat;St. Vincent & Grenadines;Antigua & Barbuda;Barbados;British Virgin Islands;Cuba;Dominica;Dominican Republic;Guadeloupe;Haiti;Jamaica;Martinique;St. Kitts & Nevis;St. Lucia;U.S. Virgin Islands;Bahamas;Turks & Caicos Islands;Aruba
sea vase,Ciona intestinalis,Chordata,,Alok,"Although CABI mentions EUR and NAm as the native continents, it also mentions that the species is cryptogenic.",Other Generic Databases,1,,,EUR;NAm,United States
Redbreast tilapia,Coptodon zillii/Tilapia zillii,Chordata,,Alok,Removed Europe (CABI),Other Generic Databases,1,,,AS;AF,Algeria;Morocco;Tunisia;Israel;Jordan;Lebanon;Chad;Egypt;Kenya;Mali;Mauritania;Niger;Sudan;Western Sahara;Benin;Cameroon;C√¥te d‚ÄôIvoire;Ghana;Guinea;Guinea-Bissau;Nigeria;Senegal;Togo;Uganda;Congo - Kinshasa;Liberia;Sierra Leone;Central African Republic
Black swan,Cygnus atratus,Chordata,,Alok,Removed Africa and North America. Native range only Australia. Removed USA from country list. (CABI),Other Generic Databases,1,,,OC,Australia
Cylindropuntia pallida,Cylindropuntia pallida/Cylindropuntia rosea,Tracheophyta,,Alok,Correct,NA,1,,,NAm,Mexico
葡萄根瘤蚜,Daktulosphaira vitifoliae/Viteus vitifoliae,Arthropoda,,Alok,"Removed Europe and Asia, replaced with NAm (CABI). Exact country in NAm not known.",Other Generic Databases,1,,,NAm,
Coqui frog,Eleutherodactylus coqui,Chordata,,Alok,Correct,NA,1,,,NAm,Puerto Rico
Greenhouse frog,Eleutherodactylus planirostris,Chordata,,Alok,Correct,NA,1,,,NAm,Cuba;Bahamas;Cayman Islands
Canadian pondweed,Elodea canadensis,Tracheophyta,,Alok,Correct,NA,1,,,NAm,Canada;United States
,Graptemys pseudogeographica,Chordata,,Alok,Correct,NA,1,,,NAm,United States
,Haworthiopsis attenuata,Tracheophyta,,Alok,Correct,NA,1,,,AF,South Africa
Indian mongoose,Herpestes edwardsi,Chordata,,Alok,"The earlier distribution was given as EUR and NAm, with USA as the native country. This is now replaced by Asia and the Indian subcontinent as the native range. (CABI)",Other Generic Databases,1,,,AS,India;Nepal;Sri Lanka;Bangladesh;Pakistan;Afghanistan;Iran;Iraq;Kuwait;Saudi Arabia
Physic nut,Jatropha curcas,Tracheophyta,,Alok,Correct,NA,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;Mexico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Ecuador;Peru
silver-cheeked toadfish,Lagocephalus sceleratus,Chordata,,Alok,Correct. Found in Red Sea,NA,1,,,AS;AF,
,Ligustrum japonicum,Tracheophyta,,Alok,"Removed NAm. Native of Japan and Korea, so assigned AS. (CABI)",Other Generic Databases,1,,,AS,Japan;Korea
Syringa,Melia azedarach,Tracheophyta,,Alok,Removed Europe from the list of continents and Solomon Islands from the list of countries. (CABI),Other Generic Databases,1,,,AS;OC,Bangladesh;China;India;Japan;Laos;Myanmar (Burma);Nepal;Pakistan;Sri Lanka;Thailand;Vietnam;Indonesia;Malaysia;Australia;Papua New Guinea
,Myoporum laetum,Tracheophyta,,Alok,Correct,NA,1,,,OC,New Zealand
Serrated tussock,Nassella trichotoma,Tracheophyta,,Alok,Removed Europe from the continent list (CABI).,Other Generic Databases,1,,,SA,Argentina;Bolivia;Brazil;Chile;Uruguay
yellow floating heart,Nymphoides peltata,Tracheophyta,,Alok,Correct,NA,1,,,EUR;AS,Armenia;Azerbaijan;China;Georgia;India;Iran;Japan;Mongolia;North Korea;South Korea;Taiwan;Turkey;Albania;Austria;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Estonia;France;Germany;Greece;Hungary;Italy;Latvia;Liechtenstein;Lithuania;Luxembourg;Moldova;Montenegro;Netherlands;North Macedonia;Poland;Portugal;Romania;Russia;Slovakia;Slovenia;Spain;Ukraine;Serbia;United Kingdom
Muskrat,Ondatra zibethicus,Chordata,,Alok,Correct,NA,1,,,NAm,Canada;United States;Mexico
,Opuntia humifusa,Tracheophyta,,Alok,Added Canada to the country list (CABI).,Other Generic Databases,1,,,NAm,United States;Canada
