"x"
"Mustela putorius"
"Plutella xylostella"
"Trialeurodes vaporariorum"
"Teredo navalis"
"Dreissena rostriformis"
"Symphyotrichum subulatum"
"Dactylopius opuntiae"
"Neustanthus phaseoloides"
"Banana bunchy top virus"
"Nilaparvata lugens"
"Cylas formicarius"
"Sciurus vulgaris"
"Elaphe taeniura"
"Xanthomonas oryzae"
"Phytophthora megasperma"
"Xanthomonas campestris"
"Tobacco ringspot virus"
"Daktulosphaira vitifoliae"
"Red tide"
"Candidatus liberibacter"
"Carex strigosa"
"Squirrelpox virus"
"Avian orthoavulavirus 1"
"Phytophthora ramorum"
"Biancaea decapetala"
"Xanthomonas axonopodis"
"Maize lethal necrosis"
"Aeromonas salmonicida"
"WSSV"
"Branchiomma bairdi"
"Peromyscus eremicus"
"Bos taurus"
"Dicentra peregrina"
"Rousettus aegyptiacus"
"Reticulitermes flavipes"
"Artemia franciscana"
"Dysdera crocata"
"Atlantoxerus getulus"
"Phalaris minor"
"Hypothenemus hampei"
"Aedes camptorhynchus"
"Acacia paradoxa"
"Otala punctata"
"Penthaleus major"
"Dicyrtomina ornata"
"Phyla nodiflora"
"Sciurus aureogaster"
"Pieris brassicae"
"Deladenus siricidicola"
"Mayetiola destructor"
"Oulema melanopus"
"Equus ferus"
"Sonchus oleraceus"
"Raphanus raphanistrum"
"Sisymbrium officinale"
"Echinochloa glabrescens"
"Rumex hypogaeus"
"Reseda lutea"
"Lactuca serriola"
"Diplotaxis tenuifolia"
"Polygonum aviculare"
"Juncus bufonius"
"Malva parviflora"
"Tribulus terrestris"
"Ipomoea biflora"
"Amaranthus mitchellii"
"Chloris truncata"
"Salvia reflexa"
"Pelargonium alchemilloides"
"Stellaria media"
"Lamium maculatum"
"Marchalina hellenica"
"Phyllosticta cavendishii"
"Lepisiota frauenfeldi"
"Polistes olivaceus"
"Carduus platypus"
"Osteospermum moniliferum"
"Xanthium chinense"
"Ulmus parvifolia"
"Phelipanche aegyptiaca"
"Monomorium pharaonis"
"Acromyrmex octospinosus"
"Chlorocebus pygerythrus"
"Coptotermes acinaciformis"
"Cryptotermes brevis"
"Cryptotermes dudleyi"
"Reticulitermes grassei"
"Erwinia amylovora"
"Plum pox virus"
