"Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Common_name"
"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela putorius","Mustela putorius furo","Ferret"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","Giant african snail"
"Animalia","Arthropoda","Insecta","Lepidoptera","Plutellidae","Plutella","Plutella xylostella","","Diamondback moth"
"Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","Trialeurodes","Trialeurodes vaporariorum","","Greenhouse whitefly"
"Animalia","Mollusca","Bivalvia","Myida","Teredinidae","Teredo","Teredo navalis","","Common shipworm"
"Animalia","Mollusca","Bivalvia","Myida","Dreissenidae","Dreissena","Dreissena rostriformis","","Quagga mussel"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","Pampa grass"
"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus","","Cranc de canals"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum subulatum","","Ajenjo de china"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","Pampas grass"
"Animalia","Arthropoda","Insecta","Hemiptera","Dactylopiidae","Dactylopius","Dactylopius opuntiae","",NA
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","Giant African land snail"
"Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","Casuarina","Casuarina equisetifolia ",""," beach casuarina"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Neustanthus","Neustanthus phaseoloides",""," tropical kudzu"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","giant African snail"
"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","","Japanese kelp"
"Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Coptodon","Coptodon zillii","","Redbreast tilapia"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","Pampas-grass"
"Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus","Humulus scandens","","Japanese hop"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Paspalum","Paspalum vaginatum","",NA
"Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus","",NA
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","",NA
"Viruses","Cressdnaviricota","Arfiviricetes","Mulpavirales","Nanoviridae","Babuvirus","Banana bunchy top virus","",NA
"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae","Nilaparvata","Nilaparvata lugens","","brown planthopper"
"Animalia","Arthropoda","Insecta","Coleoptera","Brentidae","Cylas","Cylas formicarius","","Sweet potato weevil"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","Giant African snail"
"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris","","Eurasian squirrel"
"Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe","Elaphe taeniura","","Taiwan beauty snake"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas oryzae","","水稻细菌性条斑病"
"Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora megasperma","","大豆疫霉"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas campestris","","木薯细菌性枯萎病"
"Viruses","Pisuviricota","Pisoniviricetes","Picornavirales","Secoviridae","Nepovirus","Tobacco ringspot virus","","烟草环斑病毒病"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Lissachatina","Lissachatina fulica","","非洲大蜗牛"
"Animalia","Arthropoda","Insecta","Hemiptera","Phylloxeridae","Daktulosphaira","Daktulosphaira vitifoliae","","葡萄根瘤蚜"
"Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Diverse/Unspecified","Red tide","","赤潮, Red tide"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Candidatus","Candidatus liberibacter","","Huanglongbing disease (HLB)"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xylella","Xylella fastidiosa","","Pierce’s disease"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Neustanthus","Neustanthus phaseoloides","","tropical kudzu"
"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex strigosa","","Carex strigosa"
"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Sciuripoxvirus","Squirrelpox virus","","Squirrelpox virus"
"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Cascabela","Cascabela thevetia","","Yellow oleander"
"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","Undaria pinnatifida","","Wakame"
"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Orthoavulavirus","Avian orthoavulavirus 1","","Exotic Newcastle Diseases"
"Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora ramorum","",NA
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Biancaea","Biancaea decapetala","","Thorny poinciana/Mysore thorn/Mubage/Mauritius thorn/Cat's claw"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas axonopodis","","Citrus canker"
"Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora ramorum","","Sudden Oak Death"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas axonopodis","","Citrus canker, Citrus bacterial canker"
"Animalia","Mollusca","Bivalvia","Myida","Teredinidae","Teredo","Teredo navalis","","shipworm"
"Viruses",NA,NA,NA,NA,NA,"Maize lethal necrosis","","Maize lethal necrosis"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","Aeromonas salmonicida","",NA
"Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Amphibalanus","Amphibalanus improvisus","","bay barnacle"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cortaderia","Cortaderia selloana","","pampas grass"
"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Neustanthus","Neustanthus phaseoloides","",NA
"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","Mesembryanthemum","Mesembryanthemum crystallinum","","crystalline iceplant "
"Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Coptodon","Coptodon zillii","","redbelly tilapia"
"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Magallana","Magallana gigas",""," Pacific giant oyster"
"Viruses",NA,NA,NA,"Baculoviridae","Whispovirus","WSSV",""," white stain syndrome Baculovirus (WSSV)"
"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Branchiomma","Branchiomma bairdi","","feather duster worm, sea flower"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Hyparrhenia","Hyparrhenia rufa",""," jaragua"
"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Melinis","Melinis repens","","Rose Natal grass"
"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus eremicus","","Mouse"
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","","domestic cattle"
"Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","Cissus","Cissus verticillata","","season vine"
"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Dicentra","Dicentra peregrina","","コマクサ"
"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sphagneticola","Sphagneticola trilobata","","Creeping daisy"
"Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia reticulata","","Gppy"
"Animalia","Platyhelminthes","Tricladida","Turbellaria","Rhynchodemidae","Platydemus","Platydemus manokwari","","New Guinea flatworm"
"Animalia","Arthropoda","Insecta","Coleoptera","Dynastidae","Oryctes","Oryctes rhinoceros","","Coconut Rhinoceros Beetle"
"Animalia","Nematoda","Chromadorea","Rhabditida","Heteroderidae","Globodera","Globodera pallida","","white potato cyst nematode"
"Animalia","Arthropoda","Insecta","Coleoptera","Brentidae","Cylas","Cylas formicarius","","Sweetpotato weevil"
"Animalia","Nematoda","Chromadorea","Rhabditida","Heteroderidae","Globodera","Globodera rostochiensis","","yellow potato cyst nematode"
"Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus aegyptiacus","","Egypcian bat"
"Animalia","Arthropoda","Insecta","Blattodea","Rhinotermitidae","Reticulitermes","Reticulitermes flavipes","",NA
