"x"
"Trialeurodes vaporariorum"
"Teredo navalis"
"Dreissena rostriformis"
"Dactylopius opuntiae"
"Neustanthus phaseoloides"
"Banana bunchy top virus"
"Nilaparvata lugens"
"Cylas formicarius"
"Sciurus vulgaris"
"Xanthomonas oryzae"
"Phytophthora megasperma"
"Xanthomonas campestris"
"Tobacco ringspot virus"
"Daktulosphaira vitifoliae"
"Red tide"
"Candidatus liberibacter"
"Carex strigosa"
"Squirrelpox virus"
"Avian orthoavulavirus 1"
"Phytophthora ramorum"
"Biancaea decapetala"
"Xanthomonas axonopodis"
"Maize lethal necrosis"
"Aeromonas salmonicida"
"WSSV"
"Branchiomma bairdi"
"Dicentra peregrina"
"Reticulitermes flavipes"
"Atlantoxerus getulus"
"Hypothenemus hampei"
"Aedes camptorhynchus"
"Acacia paradoxa"
"Otala punctata"
"Penthaleus major"
"Dicyrtomina ornata"
"Pieris brassicae"
"Deladenus siricidicola"
"Mayetiola destructor"
"Oulema melanopus"
"Equus ferus"
"Echinochloa glabrescens"
"Rumex hypogaeus"
"Reseda lutea"
"Ipomoea biflora"
"Amaranthus mitchellii"
"Chloris truncata"
"Salvia reflexa"
"Pelargonium alchemilloides"
"Marchalina hellenica"
"Phyllosticta cavendishii"
"Lepisiota frauenfeldi"
"Polistes olivaceus"
"Carduus platypus"
"Osteospermum moniliferum"
"Xanthium chinense"
"Phelipanche aegyptiaca"
"Monomorium pharaonis"
"Acromyrmex octospinosus"
"Chlorocebus pygerythrus"
"Coptotermes acinaciformis"
"Cryptotermes brevis"
"Cryptotermes dudleyi"
"Reticulitermes grassei"
"Erwinia amylovora"
"Plum pox virus"
