"Rank (by # of IAS, highest to lowest)",Country name,"Country land area A (km2)(excluding inland water bodies)(World Bank, 2014)",Sovereign state,UNEP (2012) GEO region,UNEP (2012) GEO Subregion,ISO3 ISO(2016),SInv (# IAS in country),SNat (# species native in country but invasive elsewhere),"IAS asymmetry index, K",NIT (# international treaties),"SInv / A 
(# species km-2)",Maximum legislation/regulation Relevance Score in country
209,Afghanistan," 652,860 ",Afghanistan,Asia + Pacific,South Asia,AFG,6,108,-5.5,7,9.2E-06,0
148,Albania," 27,400 ",Albania,Europe,Central Europe,ALB,16,142,-5.1,18,5.8E-04,3
151,Algeria," 2,381,740 ",Algeria,Africa,Northern Africa,DZA,16,130,-5.0,17,6.7E-06,0
34,American Samoa, 200 ,United States of America,Asia + Pacific,South Pacific,ASM,84,9,4.5,15,4.2E-01,0
223,Andorra, 468 ,Andorra,Europe,Western Europe,AND,4,24,-4.7,4,8.5E-03,0
210,Angola," 1,246,700 ",Angola,Africa,Southern Africa,AGO,6,68,-5.3,12,4.8E-06,0
158,Anguilla, 91 ,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,AIA,14,11,-0.1,24,1.5E-01,0
127,Antigua and Barbuda, 440 ,Antigua and Barbuda,Latin America + Caribbean,Caribbean,ATG,21,45,-2.9,14,4.8E-02,3
21,Argentina," 2,736,690 ",Argentina,Latin America + Caribbean,South America,ARG,98,138,-1.8,16,3.6E-05,4
166,Armenia," 28,470 ",Armenia,Europe,Eastern Europe,ARM,12,105,-5.1,13,4.2E-04,0
208,Aruba, 180 ,Netherlands,Latin America + Caribbean,Caribbean,ABW,6,11,-2.5,24,3.3E-02,0
3,Australia," 7,682,300 ",Australia,Asia + Pacific,Australia + New Zealand,AUS,322,117,2.1,18,4.2E-05,4
73,Austria," 82,409 ",Austria,Europe,Western Europe,AUT,46,152,-3.8,17,5.6E-04,4
201,Azerbaijan," 82,658 ",Azerbaijan,Europe,Eastern Europe,AZE,7,121,-5.5,11,8.5E-05,0
55,Bahamas," 10,010 ",Bahamas,Latin America + Caribbean,Caribbean,BHS,61,50,-0.3,9,6.1E-03,1
232,Bahrain, 760 ,Bahrain,West Asia,Arabian Peninsula,BHR,3,14,-4.3,10,3.9E-03,0
120,Bangladesh," 130,170 ",Bangladesh,Asia + Pacific,South Asia,BGD,24,94,-4.1,13,1.8E-04,0
111,Barbados, 430 ,Barbados,Latin America + Caribbean,Caribbean,BRB,27,47,-2.4,12,6.3E-02,0
128,Belarus," 202,910 ",Belarus,Europe,Eastern Europe,BLR,21,114,-4.5,14,1.0E-04,3
40,Belgium," 30,280 ",Belgium,Europe,Western Europe,BEL,78,135,-2.4,22,2.6E-03,4
129,Belize," 22,810 ",Belize,Latin America + Caribbean,Meso America,BLZ,21,97,-4.3,11,9.2E-04,0
162,Benin," 112,760 ",Benin,Africa,Western Africa,BEN,13,55,-4.2,17,1.2E-04,0
57,Bermuda, 50 ,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,BMU,60,20,2.3,24,1.2E+00,0
224,BES Islands, 328 ,Netherlands,Latin America + Caribbean,Caribbean,BES,4,3,0.0,24,1.2E-02,0
211,Bhutan," 38,117 ",Bhutan,Asia + Pacific,South Asia,BTN,6,79,-5.4,9,1.6E-04,0
139,Bolivia," 1,083,300 ",Bolivia,Latin America + Caribbean,South America,BOL,18,134,-4.9,12,1.7E-05,0
191,Bosnia and Herzegovina," 51,000 ",Bosnia and Herzegovina,Europe,Central Europe,BIH,9,70,-4.9,11,1.8E-04,0
149,Botswana," 566,730 ",Botswana,Africa,Southern Africa,BWA,16,54,-3.8,14,2.8E-05,0
29,Brazil," 8,358,140 ",Brazil,Latin America + Caribbean,South America,BRA,90,153,-2.3,14,1.1E-05,4
180,British Indian Ocean Territory (BIOT), 144 ,United Kingdom of Great Britain and Northern Ireland,Africa,Western Indian Ocean,IOT,11,1,4.7,24,7.6E-02,0
97,British Virgin Islands, 151 ,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,VGB,35,28,-0.2,24,2.3E-01,3
159,Brunei Darussalam," 5,270 ",Brunei Darussalam,Asia + Pacific,South East Asia,BRN,14,26,-2.5,7,2.7E-03,0
107,Bulgaria," 108,560 ",Bulgaria,Europe,Central Europe,BGR,28,168,-4.7,21,2.6E-04,4
185,Burkina Faso," 273,600 ",Burkina Faso,Africa,Western Africa,BFA,10,42,-4.2,17,3.7E-05,2
178,Burundi," 25,680 ",Burundi,Africa,Eastern Africa,BDI,11,45,-4.1,16,4.3E-04,0
104,Cambodia," 176,520 ",Cambodia,Asia + Pacific,South East Asia,KHM,31,89,-3.5,11,1.8E-04,3
117,Cameroon," 472,710 ",Cameroon,Africa,Central Africa,CMR,25,78,-3.7,14,5.3E-05,2
10,Canada," 9,093,510 ",Canada,North America,North America,CAN,166,66,1.8,16,1.8E-05,4
167,Cape Verde," 4,030 ",Cabo Verde,Africa,Western Africa,CPV,12,25,-2.8,12,3.0E-03,0
67,Cayman Islands, 240 ,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,CYM,51,33,0.4,24,2.1E-01,0
212,Central African Republic," 622,980 ",Central African Republic,Africa,Central Africa,CAF,6,43,-4.9,14,9.6E-06,0
206,Chad," 1,259,200 ",Chad,Africa,Central Africa,TCD,7,45,-4.7,16,5.6E-06,0
19,Chile," 743,532 ",Chile,Latin America + Caribbean,South America,CHL,107,58,1.0,16,1.4E-04,4
37,China," 9,388,211 ",China,Asia + Pacific,North East Asia,CHN,81,257,-3.7,14,8.6E-06,0
70,Christmas Island (Indian Ocean), 135 ,Australia,Asia + Pacific,South East Asia,CXR,48,13,2.8,18,3.6E-01,0
131,Cocos (Keeling) Islands, 14 ,Australia,Asia + Pacific,South Pacific,CCK,20,10,1.2,18,1.4E+00,0
68,Colombia," 1,109,500 ",Colombia,Latin America + Caribbean,South America,COL,50,142,-3.5,12,4.5E-05,4
123,Comoros," 1,861 ",Comoros,Africa,Western Indian Ocean,COM,23,15,0.4,10,1.2E-02,0
146,"Congo, Republic of the"," 341,500 ",Congo,Africa,Central Africa,COG,17,36,-2.9,16,5.0E-05,0
145,"Congo, The Democratic Republic of the (Zaire)"," 2,267,050 ",Democratic Republic of the Congo,Africa,Central Africa,COD,17,63,-4.0,17,7.5E-06,0
30,Cook Islands, 236 ,New Zealand,Asia + Pacific,South Pacific,COK,89,13,4.0,13,3.8E-01,2
50,Costa Rica," 51,060 ",Costa Rica,Latin America + Caribbean,Meso America,CRI,67,119,-2.4,13,1.3E-03,3
144,Cote d Ivoire (Ivory Coast)," 318,000 ",Côte d'Ivoire,Africa,Western Africa,CIV,17,69,-4.1,14,5.3E-05,0
96,Croatia," 55,960 ",Croatia,Europe,Central Europe,HRV,36,98,-3.4,20,6.4E-04,4
4,Cuba," 106,440 ",Cuba,Latin America + Caribbean,Caribbean,CUB,318,79,3.0,13,3.0E-03,3
150,Curacao, 444 ,Netherlands,Latin America + Caribbean,Caribbean,CUW,16,14,-0.5,24,3.6E-02,0
135,Cyprus," 9,240 ",Cyprus,Europe,Central Europe,CYP,19,71,-4.0,18,2.1E-03,4
64,Czech Republic," 77,230 ",Czech Republic,Europe,Central Europe,CZE,54,131,-3.2,20,7.0E-04,4
56,Denmark," 42,430 ",Denmark,Europe,Western Europe,DNK,61,111,-2.5,19,1.4E-03,4
225,Djibouti," 23,180 ",Djibouti,Africa,Eastern Africa,DJI,4,21,-4.5,14,1.7E-04,0
140,Dominica, 750 ,Dominica,Latin America + Caribbean,Caribbean,DMA,18,48,-3.4,9,2.4E-02,0
33,Dominican Republic," 48,320 ",Dominican Republic,Latin America + Caribbean,Caribbean,DOM,85,64,0.0,11,1.8E-03,4
41,Ecuador," 248,360 ",Ecuador,Latin America + Caribbean,South America,ECU,78,122,-2.1,14,3.1E-04,4
88,Egypt," 995,450 ",Egypt,Africa,Northern Africa,EGY,40,101,-3.2,18,4.0E-05,0
141,El Salvador," 20,720 ",El Salvador,Latin America + Caribbean,Meso America,SLV,18,101,-4.6,11,8.7E-04,2
234,Equatorial Guinea," 28,050 ",Equatorial Guinea,Africa,Central Africa,GNQ,3,33,-5.2,13,1.1E-04,0
202,Eritrea," 101,000 ",Eritrea,Africa,Eastern Africa,ERI,7,50,-4.9,8,6.9E-05,0
125,Estonia," 42,390 ",Estonia,Europe,Central Europe,EST,22,104,-4.4,17,5.2E-04,4
132,Ethiopia," 1,000,000 ",Ethiopia,Africa,Eastern Africa,ETH,20,91,-4.3,14,2.0E-05,2
130,Falkland Islands (Malvinas) (sub-Antarctic)," 12,173 ",United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,South America,FLK,21,4,3.6,24,1.7E-03,0
