"Species","source","synonym"
"Apis mellifera","GISD;CABI","Apis mellifera scutellata;Apis mellifera monticola"
"Balclutha rubrostriatus","GISD;CABI",NA
"Acanthotomicus sp.","GISD;CABI",NA
"Lupinus perennis","GISD;CABI",NA
"Zeuzera pyrina","GISD;CABI",NA
"Tecia solanivora","GISD;CABI",NA
"Pectinophora gossypiella","GISD;CABI",NA
"Lobesia botrana","GISD;CABI",NA
"Apis mellifera/Lymantria dispar/Ceratitis capitata/Ips typographus","GISD;CABI",NA
"Anthonomus grandis/Apis mellifera/Ceratitis capitata/Ips typographus/Lymantria dispar/Lymantria monacha","GISD;CABI",NA
"Senecio mikanioides","GISD;CABI","Delairea odorata"
"Crocosmia crocosmiiflora","GISD;CABI",NA
"Yucca sp.","GISD;CABI",NA
"Rubus ulmifolius","GISD;CABI","Rubus discolor"
"Citrus aurantium/Citrus limon/Citrus taitensis","GISD;CABI",NA
"Cenchrus clandestinus","CABI","Pennisetum clandestinum"
"Hieracium sp./Cirsium sp.","CABI",NA
"Hieracium sp.","CABI",NA
"Limnoperna fortunei/Corbicula fluminea/Ficopomatus enigmaticus","CABI",NA
"Varroa jacobsoni","CABI",NA
"Cenchrus purpureus","CABI","Pennisetum purpureum"
"Ascophyllum nodosum","CABI",NA
"Kalanchoe delagoensis/Bryophyllum houghtonii/Bryophyllum pinnatum","CABI",NA
